Wiki Name:,SZPositiveSymptoms
Wiki Category:,Project(L)
,
Wiki Property,Wiki Value
HasCohort (L),Frankfurt^Cohort
,PaFIP3T
,UPENN^Cohort
,
HasPJuniorLead (L),Esther Walton
,
HasPSeniorLead (L),Stephan Erlich
,
HasPSpecialContributor (L),Jessica Turner
,T. Nickson
,
IsProjectOf (L),SZWorkingGroup
,
HasContactPerson (L),Stephan Erlich
,Esther Walton
,
HasStartDate (L),6/22/01
,
HasEndDate (L),12/22/05
,
HasTargetDate (L),1/2/03
,
HasApprovedProposalForm (L),https://drive.google.com/drive/folders/0B4KZibhSmB6Jalh6WVNZanlnZE0
,
HasPBriefDescription (L),examines relationship between superior temporal gyrus thickness and positive symptoms
,
HasStatus (L),Published
,
HasGeneReferencePanel (L),
,
HasGeneticAssociationProtocol (L),
,
HasGenotypeImputationProtocol (L),